building_id,metric,model,MAE,MAPE,n_obs
Bull_education_Stewart,power_active_kw,seasonal_naive_168h,18.1679,12.6743,1745
Bull_education_Summer,power_active_kw,hour_of_week_profile,5.3076,15.4105,1735
Bull_education_Summer,power_active_kw,seasonal_naive_168h,5.9745,18.846,1649
Bull_education_Tracey,power_active_kw,hour_of_week_profile,32.3039,17.7178,1751
Bull_education_Tracey,power_active_kw,seasonal_naive_168h,32.5862,16.5148,1745
Bull_education_Venita,power_active_kw,hour_of_week_profile,6.412,16.6755,1751
Bull_education_Venita,power_active_kw,seasonal_naive_168h,6.3962,15.3651,1744
Bull_education_Violeta,power_active_kw,hour_of_week_profile,16.3193,15.817,1750
Bull_education_Violeta,power_active_kw,seasonal_naive_168h,20.2643,20.05,1744
Bull_office_Anne,power_active_kw,hour_of_week_profile,2.1765,6.2389,1751
Bull_office_Anne,power_active_kw,seasonal_naive_168h,3.3316,12.5668,1743
Bull_office_Chantel,power_active_kw,hour_of_week_profile,34.6372,15.7069,1751
Bull_office_Chantel,power_active_kw,seasonal_naive_168h,37.8229,18.341,1745
Bull_office_Claudia,power_active_kw,hour_of_week_profile,3.0135,4.7979,1751
Bull_office_Claudia,power_active_kw,seasonal_naive_168h,4.8251,10.3052,1744
Bull_office_Debbie,power_active_kw,hour_of_week_profile,5.2972,15.581,1751
Bull_office_Debbie,power_active_kw,seasonal_naive_168h,6.3754,20.5755,1745
Bull_office_Efren,power_active_kw,hour_of_week_profile,16.9488,42.0104,1752
Bull_office_Efren,power_active_kw,seasonal_naive_168h,14.5968,33.5785,1751
Bull_office_Ella,power_active_kw,hour_of_week_profile,14.0844,10.8658,1752
Bull_office_Ella,power_active_kw,seasonal_naive_168h,20.1451,21.0525,1750
Bull_office_Hilton,power_active_kw,hour_of_week_profile,0.8194,8.023,1750
Bull_office_Hilton,power_active_kw,seasonal_naive_168h,1.1781,14.2484,1741
Bull_office_Ivette,power_active_kw,hour_of_week_profile,6.8643,34.4846,1751
Bull_office_Ivette,power_active_kw,seasonal_naive_168h,4.461,20.0336,1744
Bull_office_Lilla,power_active_kw,hour_of_week_profile,49.6425,20.9277,1751
Bull_office_Lilla,power_active_kw,seasonal_naive_168h,74.1473,26.5202,1745
Bull_office_Marco,power_active_kw,hour_of_week_profile,19.9811,53.3939,1751
Bull_office_Marco,power_active_kw,seasonal_naive_168h,17.2464,42.2608,1749
Bull_office_Myron,power_active_kw,hour_of_week_profile,8.4542,9.3398,1751
Bull_office_Myron,power_active_kw,seasonal_naive_168h,12.0206,15.4375,1745
Bull_office_Nicolas,power_active_kw,hour_of_week_profile,3.2175,16.2297,1727
Bull_office_Nicolas,power_active_kw,seasonal_naive_168h,3.0983,15.193,1719
Bull_office_Rob,power_active_kw,hour_of_week_profile,36.3459,12.8821,1751
Bull_office_Rob,power_active_kw,seasonal_naive_168h,48.5501,17.226,1745
Bull_office_Sally,power_active_kw,hour_of_week_profile,23.3914,20.1221,1752
Bull_office_Sally,power_active_kw,seasonal_naive_168h,33.1913,33.3892,1751
Bull_office_Trevor,power_active_kw,hour_of_week_profile,8.3482,6.6917,1751
Bull_office_Trevor,power_active_kw,seasonal_naive_168h,13.6264,18.1358,1745
Bull_office_Yvonne,power_active_kw,hour_of_week_profile,21.2679,11.6807,1750
Bull_office_Yvonne,power_active_kw,seasonal_naive_168h,27.5709,15.7275,1743
Cockatoo_education_Amira,power_active_kw,hour_of_week_profile,10.2734,24.6948,1707
Cockatoo_education_Amira,power_active_kw,seasonal_naive_168h,4.4105,9.5144,1695
Cockatoo_education_Arlen,power_active_kw,hour_of_week_profile,32.8877,75.6382,1726
Cockatoo_education_Arlen,power_active_kw,seasonal_naive_168h,11.527,24.5063,1713
Cockatoo_education_Brendan,power_active_kw,hour_of_week_profile,5.1389,7.4655,1730
Cockatoo_education_Brendan,power_active_kw,seasonal_naive_168h,4.9032,7.3555,1721
Cockatoo_education_Brigitte,power_active_kw,hour_of_week_profile,28.733,4.0031,1730
Cockatoo_education_Brigitte,power_active_kw,seasonal_naive_168h,30.2181,4.193,1721
Cockatoo_education_Charity,power_active_kw,hour_of_week_profile,15.7436,5.7932,1729
Cockatoo_education_Charity,power_active_kw,seasonal_naive_168h,13.9153,5.24,1720
