building_id,metric,model_selected,MAE,CV(RMSE),cvrmse_seasonal_naive,delta_cvrmse_pct,med_ae
Cockatoo_education_Deloris,power_active_kw,ridge_regression,4.1825,7.2,9.41,-23.53,3.3483
Cockatoo_education_Doreen,power_active_kw,ridge_regression,6.7474,11.13,15.21,-26.86,4.6979
Cockatoo_education_Erik,cooling_kw,ridge_regression,10.5926,152.84,272.66,-43.94,5.2206
Cockatoo_education_Erik,power_active_kw,ridge_regression,6.969,5.66,7.4,-23.49,5.6473
Cockatoo_education_Eunice,cooling_kw,ridge_regression,21.0684,113.89,180.74,-36.98,16.6356
Cockatoo_education_Eunice,power_active_kw,ridge_regression,30.0554,8.9,9.34,-4.8,26.049
Cockatoo_education_Flora,cooling_kw,ridge_regression,0.4997,317.79,720.33,-55.88,0.4247
Cockatoo_education_Flora,power_active_kw,ridge_regression,26.5048,4.09,4.62,-11.48,21.7773
Cockatoo_education_Gussie,power_active_kw,ridge_regression,11.1699,5.23,6.84,-23.46,7.8031
Cockatoo_education_Helene,cooling_kw,ridge_regression,27.449,78.13,97.53,-19.89,26.6011
Cockatoo_education_Helene,power_active_kw,seasonal_naive_168h,5.2209,7.54,7.54,14.44,5.3052
Cockatoo_education_Jack,power_active_kw,ridge_regression,1.0617,24.49,32.18,-23.89,0.6813
Cockatoo_education_Janet,cooling_kw,ridge_regression,45.153,124.37,205.93,-39.6,27.7786
Cockatoo_education_Janet,power_active_kw,seasonal_naive_168h,29.9694,5.08,5.08,6.82,33.3538
Cockatoo_education_Joeann,power_active_kw,ridge_regression,43.8555,16.66,21.31,-21.85,27.8758
Cockatoo_education_Joel,power_active_kw,ridge_regression,0.3926,9.76,17.11,-42.94,0.2833
Cockatoo_education_Jon,cooling_kw,ridge_regression,13.9445,65.2,104.1,-37.36,13.1396
Cockatoo_education_Jon,power_active_kw,ridge_regression,13.1132,19.13,25.43,-24.8,7.5378
Cockatoo_education_Julia,power_active_kw,ridge_regression,4.0962,15.52,21.22,-26.88,3.0891
Cockatoo_education_Julio,power_active_kw,ridge_regression,10.7115,7.7,8.83,-12.79,8.8066
Cockatoo_education_June,cooling_kw,ridge_regression,12.438,162.11,285.46,-43.21,5.673
Cockatoo_education_June,power_active_kw,ridge_regression,5.0637,7.56,9.08,-16.76,3.5665
Cockatoo_education_Latrice,cooling_kw,ridge_regression,9.4851,249.32,404.48,-38.36,3.421
Cockatoo_education_Laurence,cooling_kw,ridge_regression,35.3733,69.09,86.64,-20.26,34.0067
Cockatoo_education_Laurence,power_active_kw,ridge_regression,19.0063,36.47,48.13,-24.22,13.2467
Cockatoo_education_Lionel,cooling_kw,ridge_regression,4.696,163.39,330.52,-50.57,1.117
Cockatoo_education_Lionel,power_active_kw,ridge_regression,10.5334,4.52,5.92,-23.64,7.3236
Cockatoo_education_Magdalena,cooling_kw,ridge_regression,1.7408,102.91,225.1,-54.28,0.092
Cockatoo_education_Magdalena,power_active_kw,ridge_regression,4.1979,30.36,34.31,-11.5,3.8461
Cockatoo_education_Marva,power_active_kw,ridge_regression,18.2689,18.53,21.66,-14.42,11.0865
Cockatoo_education_Maynard,power_active_kw,ridge_regression,4.9236,33.08,43.42,-23.83,3.8896
Cockatoo_education_Mayra,cooling_kw,ridge_regression,7.9134,49.0,67.05,-26.93,6.4571
Cockatoo_education_Mayra,power_active_kw,ridge_regression,9.9379,17.41,25.15,-30.77,7.5103
Cockatoo_education_Melanie,power_active_kw,ridge_regression,3.4643,17.89,23.21,-22.93,2.5143
Cockatoo_education_Minh,cooling_kw,ridge_regression,0.583,65.29,66.32,-1.57,0.434
Cockatoo_education_Minh,power_active_kw,ridge_regression,4.195,12.19,17.38,-29.82,3.3376
Cockatoo_education_Nelda,cooling_kw,ridge_regression,17.0953,12.32,13.53,-8.93,14.2126
Cockatoo_education_Nelda,power_active_kw,ridge_regression,6.3143,8.06,8.4,-4.05,4.5811
