event_id,group,module,entity_id,key,type,severity,rule_or_model,start,end,detected_at,duration_h,actual_mean,expected_mean,deviation_pct,peak_z,excess_kwh,reference_window,score,n_merged,match,matched_case_id
LG-00532,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-08-17 00:00:00,2017-08-17 05:00:00,2017-08-17 02:00:00,6,53.588,30.737,74.34,4.56,137.1,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00533,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,high_consumption,warning,lgbm_quantile_band,2017-08-17 13:00:00,2017-08-17 19:00:00,2017-08-17 15:00:00,7,100.876,73.749,36.78,11.36,189.9,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00534,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-08-18 00:00:00,2017-08-18 06:00:00,2017-08-18 02:00:00,7,54.837,31.995,71.39,6.13,159.9,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00535,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,high_consumption,warning,lgbm_quantile_band,2017-08-18 09:00:00,2017-08-18 19:00:00,2017-08-18 11:00:00,11,101.307,76.804,31.9,6.84,269.5,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00536,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-08-19 01:00:00,2017-08-19 21:00:00,2017-08-19 03:00:00,21,56.638,37.473,51.14,11.32,402.5,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00537,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-08-20 04:00:00,2017-08-20 19:00:00,2017-08-20 06:00:00,16,54.047,37.163,45.43,11.02,270.1,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00538,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-08-22 18:00:00,2017-08-22 20:00:00,2017-08-22 20:00:00,3,81.297,50.059,62.4,4.36,93.7,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00539,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-08-23 01:00:00,2017-08-23 07:00:00,2017-08-23 03:00:00,7,67.112,40.084,67.43,12.93,189.2,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-08
LG-00540,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,high_consumption,warning,lgbm_quantile_band,2017-08-23 12:00:00,2017-08-23 18:00:00,2017-08-23 14:00:00,7,117.982,79.514,48.38,7.45,269.3,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-08
LG-00541,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-08-25 00:00:00,2017-08-25 03:00:00,2017-08-25 02:00:00,4,68.27,42.146,61.98,4.66,104.5,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-08
